location_id,month_end,line_item_key,amount
L01,2023-01-31,rev_drip_coffee,20068.72
L01,2023-01-31,rev_espresso_drinks,33605.97
L01,2023-01-31,rev_cold_brew,15907.8
L01,2023-01-31,rev_specialty_seasonal,11453.44
L01,2023-01-31,rev_tea,4598.1
L01,2023-01-31,rev_pastries,11590.69
L01,2023-01-31,rev_sandwiches,10153.06
L01,2023-01-31,rev_breakfast,6181.25
L01,2023-01-31,rev_snacks,3235.24
L01,2023-01-31,rev_whole_bean,5009.16
L01,2023-01-31,rev_brew_equipment,2245.02
L01,2023-01-31,rev_merchandise,1365.86
L01,2023-01-31,rev_gift_cards,2633.26
L01,2023-01-31,rev_catering,3445.45
L01,2023-01-31,rev_wholesale,2530.57
L01,2023-01-31,exp_coffee_beans,-23726.44
L01,2023-01-31,exp_dairy,-13018.67
L01,2023-01-31,exp_syrups,-5022.64
L01,2023-01-31,exp_food_ingredients,-10861.59
L01,2023-01-31,exp_packaging,-5268.62
L01,2023-01-31,exp_retail_cogs,-3669.09
L01,2023-01-31,exp_barista_wages,-34970.87
L01,2023-01-31,exp_shift_lead_wages,-10010.54
L01,2023-01-31,exp_store_manager_salary,-11652.73
L01,2023-01-31,exp_payroll_taxes,-5248.15
L01,2023-01-31,exp_employee_benefits,-4468.69
L01,2023-01-31,exp_overtime,-2528.76
L01,2023-01-31,exp_rent,-13191.64
L01,2023-01-31,exp_utilities,-2706.95
L01,2023-01-31,exp_property_insurance,-1137.0
L01,2023-01-31,exp_cam,-1497.38
L01,2023-01-31,exp_property_tax,-1826.23
L01,2023-01-31,exp_marketing,-2773.6
L01,2023-01-31,exp_pos_software,-1104.04
L01,2023-01-31,exp_equipment_maintenance,-1773.42
L01,2023-01-31,exp_cleaning,-1160.79
L01,2023-01-31,exp_cc_fees,-2535.16
L01,2023-01-31,exp_office_supplies,-523.29
L01,2023-01-31,exp_waste_removal,-732.47
L01,2023-01-31,exp_corporate_overhead,-4324.95
L01,2023-01-31,exp_training,-919.62
L01,2023-01-31,exp_general_liability_ins,-751.56
L01,2023-01-31,exp_bank_fees,-360.43
L01,2023-01-31,exp_depreciation,-2290.9
L01,2023-01-31,exp_professional_fees,-1097.01
L01,2023-02-28,rev_drip_coffee,22895.62
L01,2023-02-28,rev_espresso_drinks,31552.64
L01,2023-02-28,rev_cold_brew,15251.49
L01,2023-02-28,rev_specialty_seasonal,13341.91
L01,2023-02-28,rev_tea,5134.83
L01,2023-02-28,rev_pastries,11784.94
L01,2023-02-28,rev_sandwiches,8997.81
L01,2023-02-28,rev_breakfast,5897.25
L01,2023-02-28,rev_snacks,3267.28
L01,2023-02-28,rev_whole_bean,4342.04
L01,2023-02-28,rev_brew_equipment,2021.06
L01,2023-02-28,rev_merchandise,1487.37
L01,2023-02-28,rev_gift_cards,2198.17
L01,2023-02-28,rev_catering,3498.98
L01,2023-02-28,rev_wholesale,2299.28
L01,2023-02-28,exp_coffee_beans,-22397.77
L01,2023-02-28,exp_dairy,-13479.2
L01,2023-02-28,exp_syrups,-4842.29
